dw,R_mean,R_std,gamma_local
0.1,1.0000,0.0000,-0.000
0.25,1.0000,0.0000,-0.000
0.4,1.0000,0.0000,0.000
0.55,1.0000,0.0000,0.000
0.7,1.0000,0.0000,-0.000
0.85,1.0000,0.0000,0.000
1.0,1.0000,0.0000,0.000
1.15,1.0000,0.0000,-0.000
1.3,1.0000,0.0000,-0.000
1.45,1.0000,0.0000,0.000
1.6,1.0000,0.0000,0.248
1.75,1.0000,0.0000,0.706
1.9,1.0000,0.0000,1.246
2.05,0.7858,0.0069,1.760
2.2,0.6385,0.0052,2.117
2.35,0.5562,0.0045,2.216
2.5,0.4980,0.0005,1.891
2.65,0.4568,0.0010,1.696
2.8,0.4157,0.0000,1.601
2.95,0.3865,0.0010,1.549
