dw,R_mean,R_std,gamma_local
0.1,1.0000,0.0000,0.220
0.25,1.0000,0.0000,0.404
0.4,1.0000,0.0000,0.526
0.55,0.5966,0.0073,0.614
0.7,0.4011,0.0015,1.113
0.85,0.3162,0.0018,1.386
1.0,0.2596,0.0051,1.280
1.15,0.2154,0.0048,1.150
1.3,0.1984,0.0000,1.140
1.45,0.1651,0.0009,1.064
1.6,0.1582,0.0021,1.070
1.75,0.1355,0.0006,1.066
1.9,0.1335,0.0005,0.988
2.05,0.1149,0.0008,1.061
2.2,0.1126,0.0004,1.000
2.35,0.1045,0.0003,1.062
2.5,0.0957,0.0013,0.939
2.65,0.0916,0.0008,1.011
2.8,0.0867,0.0003,0.942
2.95,0.0840,0.0009,0.805
