r,epsilon,long_memory_score,smooth_even_score,resonant_even_score,odd_even_motif_index,even_decay_index,resonance_index,motif_25,motif_50,motif_75,motif_100,motif_125,motif_150,motif_175,motif_200,motif_225,motif_250,motif_260,comp_25,comp_50,comp_75,comp_100,comp_125,comp_150,comp_175,comp_200,comp_225,comp_250,comp_260,frame_25,frame_50,frame_75,frame_100,frame_125,frame_150,frame_175,frame_200,frame_225,frame_250,frame_260,wall_period,wall_spectral_entropy,wall_ac_late_mean,mean_wall_velocity,max_cluster_lifetime,global_period
3.845,0.12,5.906433566049043e-06,0.0,5.906433566049043e-06,0.5423528205128205,0.0,0.10847266666666666,3.3333333333333335e-05,0.423375,1.923076923076923e-05,0.8157083333333334,0.0,0.38427500000000003,0.0,0.736125,0.0,0.35233333333333333,0.7164285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18265,0.8209821428571429,0.18865384615384617,0.9565208333333334,0.19793181818181818,0.8034,0.20941666666666667,0.93028125,0.21410714285714286,0.7886666666666666,0.925,301.0,0.5030171774873922,-0.06570012699870753,0.20887123320988313,60.0,3.0
3.845,0.1253,4.986625858067335e-06,0.0,4.986625858067335e-06,0.5991472433122433,0.0,0.11983366666666667,0.0,0.47075,1.923076923076923e-05,0.8063333333333333,2.2727272727272726e-05,0.46954999999999997,2.777777777777778e-05,0.779625,3.571428571428572e-05,0.46958333333333335,0.7686160714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17198333333333332,0.8375,0.1740576923076923,0.9570416666666667,0.17522727272727273,0.8384,0.17627777777777778,0.94896875,0.17757142857142857,0.8385,0.9458928571428571,52.0,0.5669105106361872,-0.010755460250909288,0.20216324969545335,98.0,2.99009900990099
3.845,0.1307,4.2200107643263e-06,0.0,4.2200107643263e-06,0.5883253977966478,0.0,0.11768927380952382,0.0002666666666666667,0.47532142857142856,0.00015384615384615385,0.7802916666666667,4.545454545454545e-05,0.476525,0.0001388888888888889,0.74034375,0.0,0.46975,0.7008928571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16523333333333334,0.8456428571428571,0.16580769230769232,0.9491458333333334,0.16645454545454547,0.8501,0.16680555555555554,0.94084375,0.16925,0.8508333333333333,0.930625,103.0,0.719616336040897,-0.009741236404366398,0.2046767875452639,180.0,2.99009900990099
3.845,0.136,2.8958723379112355e-06,6.016993554889736e-07,2.2941729824222616e-06,0.5476207292707292,0.027897964285714283,0.1096102857142857,0.0009,0.49485714285714283,0.00023076923076923076,0.6065625,0.00027272727272727274,0.50515,0.00025,0.6376875,0.0005,0.496,0.6016964285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14834999999999998,0.8748392857142857,0.14842307692307694,0.9022916666666667,0.14929545454545456,0.8792249999999999,0.15002777777777776,0.91025,0.15110714285714286,0.8755416666666667,0.9008928571428572,3.0,0.7998388105152631,-0.0031854582712826877,0.1915413751686419,51.0,2.5
3.855,0.103,6.958683763136668e-06,1.8276679308942049e-06,5.1310158322424635e-06,0.4045301492951493,0.06863463095238095,0.08105347619047619,0.00015000000000000001,0.44967857142857137,0.0005769230769230769,0.41962499999999997,0.0007727272727272727,0.4137,0.0009722222222222223,0.382625,0.0012142857142857142,0.36070833333333335,0.36959821428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16291666666666665,0.8674821428571429,0.17644230769230768,0.8512083333333333,0.18729545454545454,0.840875,0.1998888888888889,0.82675,0.2085,0.8155416666666666,0.8158928571428572,201.89577717879604,0.8434388766005888,-0.023584521854213135,0.17745355412018682,17.0,102.35248713550601
3.855,0.1083,1.4037837921153728e-05,5.839815782684272e-06,8.198022138469455e-06,0.4940407022144522,0.08791095238095238,0.09896115476190476,0.00035,0.5400892857142857,0.0004807692307692308,0.5110208333333334,0.0013636363636363635,0.489575,0.0009166666666666668,0.47096875,0.0007142857142857143,0.462375,0.4514732142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15041666666666667,0.8829464285714286,0.16409615384615386,0.8677291666666667,0.17713636363636365,0.8548749999999999,0.1832777777777778,0.8483125,0.18985714285714286,0.8417083333333333,0.8383482142857143,250.5,0.8272387234741146,-0.017691411582455425,0.16877325964096926,17.0,101.5
3.855,0.1137,8.07226019435905e-06,0.0,8.07226019435905e-06,0.4122773534798535,0.0,0.08270435714285715,0.0003,0.35482142857142857,0.0008269230769230769,0.569125,0.001,0.32685,0.0014166666666666668,0.5085625,0.0026785714285714286,0.30825,0.4629464285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18814999999999998,0.8274821428571428,0.19913461538461538,0.8889583333333333,0.21431818181818182,0.803975,0.22391666666666665,0.8554375000000001,0.23532142857142857,0.7882916666666666,0.8356696428571428,102.00251256281408,0.788407447471766,-0.02086040474632951,0.2069081365216925,13.0,102.00251256281408
3.855,0.119,1.1988963819631258e-06,0.0,1.1988963819631258e-06,0.5793770995670995,0.0,0.11588057142857142,0.0,0.4699642857142857,0.0,0.7858333333333334,4.545454545454545e-05,0.460675,8.333333333333333e-05,0.72,0.0,0.4605416666666666,0.7617857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15103333333333335,0.8517857142857143,0.1523846153846154,0.9567916666666667,0.15427272727272728,0.851925,0.1537777777777778,0.94253125,0.15478571428571428,0.8534583333333333,0.9490625,2.0,0.6013583017287174,-0.0005389817032344717,0.17044984429598248,25.0,2.1711409395973154
3.855,0.12,9.538289135852507e-07,0.0,9.538289135852507e-07,0.5986128904428905,0.0,0.11972733333333332,0.0,0.464375,9.615384615384615e-05,0.8496458333333333,2.2727272727272726e-05,0.451725,0.0,0.7858125,0.0,0.441625,0.79125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15366666666666667,0.8483928571428572,0.15526923076923077,0.9693958333333333,0.15570454545454546,0.84795,0.15655555555555556,0.95646875,0.1597142857142857,0.84575,0.9549553571428572,2.0,0.4840171452844396,-0.018971939572272407,0.16255928484754223,14.0,2.0
3.855,0.1253,3.518660254830929e-05,0.0,3.518660254830929e-05,0.7077667261904762,0.0,0.14155334523809524,0.0,0.5784107142857142,0.0,0.9230208333333334,0.0,0.57285,0.0,0.90321875,0.0,0.5613333333333334,0.8780357142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14086666666666667,0.8613035714285714,0.14221153846153847,0.982375,0.14275,0.8595,0.14377777777777778,0.97771875,0.14514285714285713,0.8570833333333333,0.971875,201.5,0.3986057463522988,-0.02596261296552872,0.1520558248603085,28.0,201.0
