r,eps,P_M,P_M_std,P_F,M_even,M_odd,F_even,ref_index
3.845,0.12,0.7516546409108843,0.022899708600115372,1.0,0.9165030174108738,0.16484837649998943,0.9698217379556887,0.5423528205128205
3.845,0.1253,0.791015928546473,0.04719904663726428,1.0,0.9303385416666666,0.13932261312019376,0.9753087542160355,0.5991472433122433
3.845,0.1307,0.8010381979055201,0.024959777977736443,1.0,0.9328722910186454,0.13183409311312536,0.976874036622247,0.5883253977966478
3.845,0.136,0.7658156646177536,0.004827879228895647,1.0,0.9027462697374716,0.13693060511971802,0.964010013237036,0.5476207292707292
3.855,0.103,0.8245656275941995,0.03977482742641994,1.0,0.9180116229591465,0.09344599536494698,0.9292236284818327,0.4045301492951493
3.855,0.1083,0.9114049019982082,0.030389445756452655,1.0,0.9613366942481457,0.049931792249937414,0.9553857103265392,0.4940407022144522
3.855,0.1137,0.8017257364130943,0.03383702258877838,1.0,0.9248594157459672,0.12313367933287285,0.974840182707564,0.4122773534798535
3.855,0.119,0.7784439971883684,0.006548738097056332,1.0,0.9163025637271769,0.13785856653880849,0.9726112185232814,0.5793770995670995
3.855,0.12,0.7937212034825931,0.03876576601878963,1.0,0.9237453435752817,0.13002414009268848,0.973558530663257,0.5986128904428905
3.855,0.1253,0.783202821453527,0.025314550265398146,1.0,0.927734375,0.1445315535464729,0.9742284986010875,0.7077667261904762
3.855,0.1307,0.7949209643605814,0.033490392207285065,1.0,0.931640625,0.1367196606394187,0.9762958296392396,0.5608837301587302
3.855,0.136,0.8342721444809587,0.038346335144719065,1.0,0.943952338403088,0.10968019392212941,0.9786775319834886,0.585037152014652
3.865,0.12,0.7325648868141021,0.03251341141320648,1.0,0.899204385393117,0.1666394985790147,0.9674694702876233,0.568668988095238
3.865,0.1253,0.7749967148694182,0.042990917540407285,1.0,0.9232130101865201,0.14821629531710176,0.9722818907798773,0.5557622448384949
3.865,0.1307,0.7764275517356566,0.02765589150203083,1.0,0.925309126028118,0.1488815742924614,0.9744348810014003,0.6985470833333334
3.865,0.136,0.7753939640112019,0.01933464453653533,1.0,0.9251302083333334,0.14973624432213142,0.9754736177747554,0.6482644444444444
3.8717,0.103,0.5876935434801239,0.011851007609070128,1.0,0.8138419733426666,0.22614842986254277,0.8600123767501855,0.24966912906537905
3.8717,0.1083,0.8020235671184389,0.03081872798388224,1.0,0.907434457708765,0.10541089059032609,0.872327313269284,0.362674986957487
3.8717,0.1137,0.8467367300707718,0.036998308550888814,1.0,0.9288102213208758,0.08207349125010416,0.8854441667004268,0.4180888542013542
3.8717,0.119,0.7446162194810482,0.020719389262797414,1.0,0.9007454401550269,0.15612922067397875,0.959616169320622,0.4647893532856033
3.875,0.12,0.7433681916010774,0.03504248926496911,1.0,0.9016035369916646,0.15823534539058734,0.9687693911404848,0.3910045505883006
3.875,0.1253,0.7529382991011014,0.012637568158593453,1.0,0.9082891730043947,0.15535087390329325,0.9702032989674308,0.6267073443223443
3.875,0.1307,0.7724860036664817,0.018421046698770527,1.0,0.9236076800091259,0.1511216763426441,0.9723154816292033,0.6182312314074814
3.875,0.136,0.77734375,0.014354709563535632,1.0,0.92578125,0.1484375,0.9753479660048402,0.5208929534354534
3.8883,0.103,0.5841269466562423,0.016155756540092405,1.0,0.8125905359996705,0.22846358934342806,0.8684171619822082,0.16614114010989012
3.8883,0.1083,0.6355763939920002,0.011986111642345774,1.0,0.8324155858049823,0.19683919181298215,0.8571372573798705,0.40392400446775445
3.8883,0.1137,0.8340032611662546,0.04535335819041446,1.0,0.9215177238238624,0.08751446265760782,0.857789728841522,0.5384633544233545
3.8883,0.119,0.8906501769225911,0.05657338652656977,1.0,0.9495790508373522,0.05892887391476102,0.9190366210385652,0.38989014110889114
3.905,0.103,0.5648499678989732,0.023150456085985885,1.0,0.8057339295998704,0.24088396170089718,0.8678383702636344,0.19724430597180598
3.905,0.1083,0.6074422620977878,0.02434829419945223,1.0,0.8197262986923084,0.21228403659452047,0.8677856981365286,0.19919085331335332
3.905,0.1137,0.7672214114226729,0.04092639820421646,1.0,0.8889605045960401,0.12173909317336735,0.8558706908614094,0.3625099443611944
3.905,0.119,0.8364982053245829,0.020638148028182597,1.0,0.922023210665314,0.08552500534073115,0.8491219856938784,0.49779707681207686
