r=3.500: band_frac=0.0000, sat_run=4, order_run=45
r=3.510: band_frac=0.0000, sat_run=4, order_run=45
r=3.520: band_frac=0.0000, sat_run=4, order_run=45
r=3.531: band_frac=0.0000, sat_run=4, order_run=45
r=3.541: band_frac=0.0000, sat_run=4, order_run=45
r=3.551: band_frac=0.1224, sat_run=1, order_run=42
r=3.561: band_frac=0.1224, sat_run=1, order_run=42
r=3.571: band_frac=0.0816, sat_run=1, order_run=44
r=3.582: band_frac=0.1020, sat_run=1, order_run=43
r=3.592: band_frac=0.1020, sat_run=2, order_run=42
r=3.602: band_frac=0.1224, sat_run=2, order_run=41
r=3.612: band_frac=0.1837, sat_run=1, order_run=39
r=3.622: band_frac=0.1837, sat_run=5, order_run=35
r=3.633: band_frac=0.0408, sat_run=5, order_run=42
r=3.643: band_frac=0.2041, sat_run=1, order_run=38
r=3.653: band_frac=0.1633, sat_run=3, order_run=38
r=3.663: band_frac=0.2245, sat_run=1, order_run=37
r=3.673: band_frac=0.2245, sat_run=1, order_run=37
r=3.684: band_frac=0.2245, sat_run=3, order_run=35
r=3.694: band_frac=0.2041, sat_run=6, order_run=33
r=3.704: band_frac=0.2653, sat_run=4, order_run=32
r=3.714: band_frac=0.3061, sat_run=6, order_run=28
r=3.724: band_frac=0.3265, sat_run=4, order_run=29
r=3.735: band_frac=0.2653, sat_run=1, order_run=35
r=3.745: band_frac=0.0816, sat_run=2, order_run=43
r=3.755: band_frac=0.1633, sat_run=1, order_run=40
r=3.765: band_frac=0.2449, sat_run=2, order_run=35
r=3.776: band_frac=0.2653, sat_run=6, order_run=30
r=3.786: band_frac=0.2857, sat_run=3, order_run=32
r=3.796: band_frac=0.3469, sat_run=4, order_run=28
r=3.806: band_frac=0.2449, sat_run=2, order_run=35
r=3.816: band_frac=0.1429, sat_run=1, order_run=41
r=3.827: band_frac=0.0612, sat_run=1, order_run=45
r=3.837: band_frac=0.0000, sat_run=3, order_run=46
r=3.847: band_frac=0.0000, sat_run=6, order_run=43
r=3.857: band_frac=0.0816, sat_run=2, order_run=43
r=3.867: band_frac=0.1224, sat_run=2, order_run=41
r=3.878: band_frac=0.1429, sat_run=2, order_run=40
r=3.888: band_frac=0.1224, sat_run=1, order_run=42
r=3.898: band_frac=0.1633, sat_run=2, order_run=39
r=3.908: band_frac=0.1020, sat_run=1, order_run=43
r=3.918: band_frac=0.1020, sat_run=1, order_run=43
r=3.929: band_frac=0.3673, sat_run=2, order_run=29
r=3.939: band_frac=0.3878, sat_run=3, order_run=27
r=3.949: band_frac=0.5306, sat_run=4, order_run=19
r=3.959: band_frac=0.1633, sat_run=1, order_run=40
r=3.969: band_frac=0.1429, sat_run=1, order_run=41
r=3.980: band_frac=0.1633, sat_run=1, order_run=40
r=3.990: band_frac=0.1020, sat_run=1, order_run=43
r=4.000: band_frac=0.0000, sat_run=1, order_run=48
