LOGISTIC MAP ADLER-CEILING VERIFICATION
=====================================

Maximum band_frac: 0.480000 at r = 3.950000
Adler ceiling: 0.414000
Ceiling exceeded: YES
Excess: 0.066000

Detailed Results:
--------------------------------------------------
r=3.5000: band_frac=0.000000, sat_frac=0.080000, order_frac=0.920000
r=3.5100: band_frac=0.000000, sat_frac=0.080000, order_frac=0.920000
r=3.5200: band_frac=0.000000, sat_frac=0.080000, order_frac=0.920000
r=3.5300: band_frac=0.000000, sat_frac=0.080000, order_frac=0.920000
r=3.5400: band_frac=0.000000, sat_frac=0.080000, order_frac=0.920000
r=3.5500: band_frac=0.120000, sat_frac=0.020000, order_frac=0.860000
r=3.5600: band_frac=0.120000, sat_frac=0.020000, order_frac=0.860000
r=3.5700: band_frac=0.140000, sat_frac=0.020000, order_frac=0.840000
r=3.5800: band_frac=0.080000, sat_frac=0.020000, order_frac=0.900000
r=3.5900: band_frac=0.140000, sat_frac=0.020000, order_frac=0.840000
r=3.6000: band_frac=0.140000, sat_frac=0.040000, order_frac=0.820000
r=3.6100: band_frac=0.160000, sat_frac=0.020000, order_frac=0.820000
r=3.6200: band_frac=0.220000, sat_frac=0.080000, order_frac=0.700000
r=3.6300: band_frac=0.000000, sat_frac=0.120000, order_frac=0.880000
r=3.6400: band_frac=0.180000, sat_frac=0.020000, order_frac=0.800000
r=3.6500: band_frac=0.180000, sat_frac=0.040000, order_frac=0.780000
r=3.6600: band_frac=0.200000, sat_frac=0.020000, order_frac=0.780000
r=3.6700: band_frac=0.180000, sat_frac=0.020000, order_frac=0.800000
r=3.6800: band_frac=0.100000, sat_frac=0.040000, order_frac=0.860000
r=3.6900: band_frac=0.240000, sat_frac=0.080000, order_frac=0.680000
r=3.7000: band_frac=0.240000, sat_frac=0.120000, order_frac=0.640000
r=3.7100: band_frac=0.340000, sat_frac=0.060000, order_frac=0.600000
r=3.7200: band_frac=0.240000, sat_frac=0.100000, order_frac=0.660000
r=3.7300: band_frac=0.320000, sat_frac=0.020000, order_frac=0.660000
r=3.7400: band_frac=0.000000, sat_frac=0.100000, order_frac=0.900000
r=3.7500: band_frac=0.160000, sat_frac=0.020000, order_frac=0.820000
r=3.7600: band_frac=0.160000, sat_frac=0.020000, order_frac=0.820000
r=3.7700: band_frac=0.380000, sat_frac=0.060000, order_frac=0.560000
r=3.7800: band_frac=0.440000, sat_frac=0.060000, order_frac=0.500000
r=3.7900: band_frac=0.420000, sat_frac=0.060000, order_frac=0.520000
r=3.8000: band_frac=0.380000, sat_frac=0.040000, order_frac=0.580000
r=3.8100: band_frac=0.240000, sat_frac=0.040000, order_frac=0.720000
r=3.8200: band_frac=0.100000, sat_frac=0.020000, order_frac=0.880000
r=3.8300: band_frac=0.000000, sat_frac=0.060000, order_frac=0.940000
r=3.8400: band_frac=0.000000, sat_frac=0.060000, order_frac=0.940000
r=3.8500: band_frac=0.020000, sat_frac=0.080000, order_frac=0.900000
r=3.8600: band_frac=0.100000, sat_frac=0.020000, order_frac=0.880000
r=3.8700: band_frac=0.080000, sat_frac=0.060000, order_frac=0.860000
r=3.8800: band_frac=0.120000, sat_frac=0.060000, order_frac=0.820000
r=3.8900: band_frac=0.180000, sat_frac=0.020000, order_frac=0.800000
r=3.9000: band_frac=0.140000, sat_frac=0.020000, order_frac=0.840000
r=3.9100: band_frac=0.120000, sat_frac=0.020000, order_frac=0.860000
r=3.9200: band_frac=0.140000, sat_frac=0.020000, order_frac=0.840000
r=3.9300: band_frac=0.340000, sat_frac=0.020000, order_frac=0.640000
r=3.9400: band_frac=0.380000, sat_frac=0.020000, order_frac=0.600000
r=3.9500: band_frac=0.480000, sat_frac=0.060000, order_frac=0.460000
r=3.9600: band_frac=0.100000, sat_frac=0.020000, order_frac=0.880000
r=3.9700: band_frac=0.160000, sat_frac=0.020000, order_frac=0.820000
r=3.9800: band_frac=0.120000, sat_frac=0.020000, order_frac=0.860000
r=3.9900: band_frac=0.100000, sat_frac=0.020000, order_frac=0.880000
r=4.0000: band_frac=0.000000, sat_frac=0.020000, order_frac=0.980000
