K0_sweep R_forward R_backward
0.50 0.0794 0.0691
0.60 0.0703 0.0819
0.70 0.0319 0.0507
0.80 0.0908 0.0065
0.90 0.0805 0.0927
1.00 0.0364 0.0508
1.10 0.0613 0.0182
1.20 0.0931 0.0759
1.30 0.0704 0.0771
1.40 0.0501 0.0587
1.50 0.0403 0.0806
1.60 0.0506 0.0028
1.70 0.0630 0.1022
1.80 0.0582 0.0188
1.90 0.0510 0.0487
2.00 0.0751 0.0746
2.10 0.0813 0.0755
2.20 0.0864 0.0210
2.30 0.0520 0.0710
2.40 0.1211 0.0407
2.50 0.0624 0.0830
2.60 0.0044 0.0845
2.70 0.0802 0.0487
2.80 0.0232 0.0267
2.90 0.0556 0.0823
3.00 0.0994 0.0334
3.10 0.1018 0.0136
3.20 0.0432 0.0754
3.30 0.0173 0.0416
3.40 0.0488 0.0301
3.50 0.0367 0.1010
3.60 0.0657 0.1377
3.70 0.0471 0.0536
3.80 0.0915 0.0741
3.90 0.0458 0.0321
4.00 0.0941 0.0268
4.10 0.0684 0.0679
4.20 0.0593 0.0686
4.30 0.0217 0.0039
4.40 0.0596 0.0556
4.50 0.0723 0.0128
4.60 0.1126 0.0736
4.70 0.0686 0.0981
4.80 0.0592 0.0641
4.90 0.0558 0.1109
5.00 0.0765 0.1325
