dw,R_mean,R_std,gamma_local
0.1,0.9997,0.0000,0.000
0.25,0.9997,0.0000,0.000
0.4,0.9997,0.0000,0.000
0.55,0.9997,0.0000,0.000
0.7,0.9997,0.0000,0.000
0.85,0.9997,0.0000,0.000
1.0,0.9997,0.0000,0.000
1.15,0.9997,0.0000,0.000
1.3,0.9996,0.0000,0.000
1.45,0.9996,0.0000,0.000
1.6,0.9996,0.0000,5.845
1.75,0.9995,0.0000,9.062
1.9,0.9993,0.0000,12.854
2.05,0.0191,0.0115,15.369
2.2,0.0058,0.0038,13.131
2.35,0.0061,0.0026,1.808
2.5,0.0040,0.0022,1.069
2.65,0.0070,0.0016,-1.621
2.8,0.0091,0.0009,-2.423
2.95,0.0080,0.0002,-4.346
