dw,R_mean,R_std,gamma_local
0.1,1.0000,0.0000,0.000
0.25,1.0000,0.0000,0.000
0.4,1.0000,0.0000,0.000
0.55,1.0000,0.0000,0.000
0.7,1.0000,0.0000,-0.000
0.85,1.0000,0.0000,-0.000
1.0,1.0000,0.0000,0.000
1.15,1.0000,0.0000,-0.000
1.3,1.0000,0.0000,0.000
1.45,1.0000,0.0000,0.267
1.6,1.0000,0.0000,0.728
1.75,1.0000,0.0000,1.270
1.9,0.7480,0.0474,1.775
2.05,0.6066,0.0202,2.111
2.2,0.5250,0.0136,2.161
2.35,0.4703,0.0122,1.765
2.5,0.4323,0.0091,1.525
2.65,0.3964,0.0036,1.428
2.8,0.3695,0.0082,1.377
2.95,0.3441,0.0053,1.370
